fund,rebalance_date,ticker,weight
Combined_MaxSharpe,2022-06-01,INTC,0.0
Combined_MaxSharpe,2022-06-01,KO,0.0
Combined_MaxSharpe,2022-06-01,MMM,0.0
Combined_MaxSharpe,2022-06-01,MRK,0.133788
Combined_MaxSharpe,2022-06-01,MS,0.0
Combined_MaxSharpe,2022-06-01,NEE,0.0
Combined_MaxSharpe,2022-06-01,NEM,0.0
Combined_MaxSharpe,2022-06-01,NKE,0.0
Combined_MaxSharpe,2022-06-01,NUE,0.0
Combined_MaxSharpe,2022-06-01,NVDA,0.0
Combined_MaxSharpe,2022-06-01,O,0.0
Combined_MaxSharpe,2022-06-01,OXY,0.067606
Combined_MaxSharpe,2022-06-01,PLD,0.0
Combined_MaxSharpe,2022-06-01,PSA,0.0
Combined_MaxSharpe,2022-06-01,QCOM,0.0
Combined_MaxSharpe,2022-06-01,SBUX,0.0
Combined_MaxSharpe,2022-06-01,SHW,0.0
Combined_MaxSharpe,2022-06-01,SLB,0.0
Combined_MaxSharpe,2022-06-01,SO,0.149968
Combined_MaxSharpe,2022-06-01,T,0.0
Combined_MaxSharpe,2022-06-01,TMUS,0.0
Combined_MaxSharpe,2022-06-01,TTWO,0.0
Combined_MaxSharpe,2022-06-01,UPS,0.0
Combined_MaxSharpe,2022-06-01,USB,0.0
Combined_MaxSharpe,2022-06-01,V,0.0
Combined_MaxSharpe,2022-06-01,WFC,0.0
Combined_MaxSharpe,2022-06-01,WMT,0.0
Combined_MaxSharpe,2022-06-01,XOM,0.0
Combined_MaxSharpe,2022-06-01,ADA-USD,0.0
Combined_MaxSharpe,2022-06-01,BCH-USD,0.0
Combined_MaxSharpe,2022-06-01,BTC-USD,0.0
Combined_MaxSharpe,2022-06-01,EOS-USD,0.0
Combined_MaxSharpe,2022-06-01,ETC-USD,0.0
Combined_MaxSharpe,2022-06-01,ETH-USD,0.0
Combined_MaxSharpe,2022-06-01,LTC-USD,0.0
Combined_MaxSharpe,2022-06-01,TRX-USD,0.0
Combined_MaxSharpe,2022-06-01,XLM-USD,0.0
Combined_MaxSharpe,2022-06-01,XRP-USD,0.0
Combined_MaxSharpe,2022-07-01,ABBV,0.467934
Combined_MaxSharpe,2022-07-01,ABT,0.0
Combined_MaxSharpe,2022-07-01,ADBE,0.0
Combined_MaxSharpe,2022-07-01,AEP,0.0
Combined_MaxSharpe,2022-07-01,AMD,0.0
Combined_MaxSharpe,2022-07-01,AMGN,0.0
Combined_MaxSharpe,2022-07-01,AMT,0.0
Combined_MaxSharpe,2022-07-01,BA,0.0
Combined_MaxSharpe,2022-07-01,CAT,0.0
Combined_MaxSharpe,2022-07-01,CCI,0.0
Combined_MaxSharpe,2022-07-01,CMCSA,0.0
Combined_MaxSharpe,2022-07-01,COP,0.0
Combined_MaxSharpe,2022-07-01,CVX,0.114789
Combined_MaxSharpe,2022-07-01,D,0.0
Combined_MaxSharpe,2022-07-01,DD,0.0
Combined_MaxSharpe,2022-07-01,DIS,0.0
Combined_MaxSharpe,2022-07-01,DOW,0.0
Combined_MaxSharpe,2022-07-01,DUK,0.0
Combined_MaxSharpe,2022-07-01,EA,0.0
Combined_MaxSharpe,2022-07-01,GE,0.0
Combined_MaxSharpe,2022-07-01,GILD,0.0
Combined_MaxSharpe,2022-07-01,GS,0.0
Combined_MaxSharpe,2022-07-01,INTC,0.0
Combined_MaxSharpe,2022-07-01,KO,0.048942
Combined_MaxSharpe,2022-07-01,MMM,0.0
Combined_MaxSharpe,2022-07-01,MRK,0.032522
Combined_MaxSharpe,2022-07-01,MS,0.0
Combined_MaxSharpe,2022-07-01,NEE,0.0
Combined_MaxSharpe,2022-07-01,NEM,0.0
Combined_MaxSharpe,2022-07-01,NKE,0.0
Combined_MaxSharpe,2022-07-01,NUE,0.0
Combined_MaxSharpe,2022-07-01,NVDA,0.0
Combined_MaxSharpe,2022-07-01,O,0.0
Combined_MaxSharpe,2022-07-01,OXY,0.110486
Combined_MaxSharpe,2022-07-01,PLD,0.0
Combined_MaxSharpe,2022-07-01,PSA,0.0
Combined_MaxSharpe,2022-07-01,QCOM,0.0
Combined_MaxSharpe,2022-07-01,SBUX,0.0
Combined_MaxSharpe,2022-07-01,SHW,0.0
Combined_MaxSharpe,2022-07-01,SLB,0.0
Combined_MaxSharpe,2022-07-01,SO,0.225327
Combined_MaxSharpe,2022-07-01,T,0.0
Combined_MaxSharpe,2022-07-01,TMUS,0.0
Combined_MaxSharpe,2022-07-01,TTWO,0.0
Combined_MaxSharpe,2022-07-01,UPS,0.0
Combined_MaxSharpe,2022-07-01,USB,0.0
Combined_MaxSharpe,2022-07-01,V,0.0
Combined_MaxSharpe,2022-07-01,WFC,0.0
Combined_MaxSharpe,2022-07-01,WMT,0.0
Combined_MaxSharpe,2022-07-01,XOM,0.0
Combined_MaxSharpe,2022-07-01,ADA-USD,0.0
Combined_MaxSharpe,2022-07-01,BCH-USD,0.0
Combined_MaxSharpe,2022-07-01,BTC-USD,0.0
Combined_MaxSharpe,2022-07-01,EOS-USD,0.0
Combined_MaxSharpe,2022-07-01,ETC-USD,0.0
Combined_MaxSharpe,2022-07-01,ETH-USD,0.0
Combined_MaxSharpe,2022-07-01,LTC-USD,0.0
Combined_MaxSharpe,2022-07-01,TRX-USD,0.0
Combined_MaxSharpe,2022-07-01,XLM-USD,0.0
Combined_MaxSharpe,2022-07-01,XRP-USD,0.0
Combined_MaxSharpe,2022-08-01,ABBV,0.240162
Combined_MaxSharpe,2022-08-01,ABT,0.0
Combined_MaxSharpe,2022-08-01,ADBE,0.0
Combined_MaxSharpe,2022-08-01,AEP,0.0
Combined_MaxSharpe,2022-08-01,AMD,0.0
Combined_MaxSharpe,2022-08-01,AMGN,0.0
Combined_MaxSharpe,2022-08-01,AMT,0.0
Combined_MaxSharpe,2022-08-01,BA,0.0
Combined_MaxSharpe,2022-08-01,CAT,0.0
Combined_MaxSharpe,2022-08-01,CCI,0.0
Combined_MaxSharpe,2022-08-01,CMCSA,0.0
Combined_MaxSharpe,2022-08-01,COP,0.0
Combined_MaxSharpe,2022-08-01,CVX,0.210308
Combined_MaxSharpe,2022-08-01,D,0.0
Combined_MaxSharpe,2022-08-01,DD,0.0
Combined_MaxSharpe,2022-08-01,DIS,0.0
Combined_MaxSharpe,2022-08-01,DOW,0.0
Combined_MaxSharpe,2022-08-01,DUK,0.0
Combined_MaxSharpe,2022-08-01,EA,0.0
Combined_MaxSharpe,2022-08-01,GE,0.0
Combined_MaxSharpe,2022-08-01,GILD,0.0
Combined_MaxSharpe,2022-08-01,GS,0.0
Combined_MaxSharpe,2022-08-01,INTC,0.0
Combined_MaxSharpe,2022-08-01,KO,0.0
Combined_MaxSharpe,2022-08-01,MMM,0.0
Combined_MaxSharpe,2022-08-01,MRK,0.05759
Combined_MaxSharpe,2022-08-01,MS,0.0
Combined_MaxSharpe,2022-08-01,NEE,0.0
Combined_MaxSharpe,2022-08-01,NEM,0.0
Combined_MaxSharpe,2022-08-01,NKE,0.0
Combined_MaxSharpe,2022-08-01,NUE,0.022232
Combined_MaxSharpe,2022-08-01,NVDA,0.0
Combined_MaxSharpe,2022-08-01,O,0.0
Combined_MaxSharpe,2022-08-01,OXY,0.167223
Combined_MaxSharpe,2022-08-01,PLD,0.0
Combined_MaxSharpe,2022-08-01,PSA,0.0
Combined_MaxSharpe,2022-08-01,QCOM,0.0
Combined_MaxSharpe,2022-08-01,SBUX,0.0
Combined_MaxSharpe,2022-08-01,SHW,0.0
Combined_MaxSharpe,2022-08-01,SLB,0.0
Combined_MaxSharpe,2022-08-01,SO,0.302484
Combined_MaxSharpe,2022-08-01,T,0.0
Combined_MaxSharpe,2022-08-01,TMUS,0.0
Combined_MaxSharpe,2022-08-01,TTWO,0.0
Combined_MaxSharpe,2022-08-01,UPS,0.0
Combined_MaxSharpe,2022-08-01,USB,0.0
Combined_MaxSharpe,2022-08-01,V,0.0
Combined_MaxSharpe,2022-08-01,WFC,0.0
Combined_MaxSharpe,2022-08-01,WMT,0.0
Combined_MaxSharpe,2022-08-01,XOM,0.0
Combined_MaxSharpe,2022-08-01,ADA-USD,0.0
Combined_MaxSharpe,2022-08-01,BCH-USD,0.0
Combined_MaxSharpe,2022-08-01,BTC-USD,0.0
Combined_MaxSharpe,2022-08-01,EOS-USD,0.0
Combined_MaxSharpe,2022-08-01,ETC-USD,0.0
Combined_MaxSharpe,2022-08-01,ETH-USD,0.0
Combined_MaxSharpe,2022-08-01,LTC-USD,0.0
Combined_MaxSharpe,2022-08-01,TRX-USD,0.0
Combined_MaxSharpe,2022-08-01,XLM-USD,0.0
Combined_MaxSharpe,2022-08-01,XRP-USD,0.0
Combined_MaxSharpe,2022-09-01,ABBV,0.081641
Combined_MaxSharpe,2022-09-01,ABT,0.0
Combined_MaxSharpe,2022-09-01,ADBE,0.0
Combined_MaxSharpe,2022-09-01,AEP,0.0
Combined_MaxSharpe,2022-09-01,AMD,0.0
Combined_MaxSharpe,2022-09-01,AMGN,0.061914
Combined_MaxSharpe,2022-09-01,AMT,0.0
Combined_MaxSharpe,2022-09-01,BA,0.0
Combined_MaxSharpe,2022-09-01,CAT,0.0
Combined_MaxSharpe,2022-09-01,CCI,0.0
Combined_MaxSharpe,2022-09-01,CMCSA,0.0
Combined_MaxSharpe,2022-09-01,COP,0.063345
Combined_MaxSharpe,2022-09-01,CVX,0.131099
Combined_MaxSharpe,2022-09-01,D,0.0
Combined_MaxSharpe,2022-09-01,DD,0.0
Combined_MaxSharpe,2022-09-01,DIS,0.0
Combined_MaxSharpe,2022-09-01,DOW,0.0
Combined_MaxSharpe,2022-09-01,DUK,0.0
Combined_MaxSharpe,2022-09-01,EA,0.0
Combined_MaxSharpe,2022-09-01,GE,0.0
Combined_MaxSharpe,2022-09-01,GILD,0.0
Combined_MaxSharpe,2022-09-01,GS,0.0
Combined_MaxSharpe,2022-09-01,INTC,0.0
Combined_MaxSharpe,2022-09-01,KO,0.0
Combined_MaxSharpe,2022-09-01,MMM,0.0
Combined_MaxSharpe,2022-09-01,MRK,0.032637
Combined_MaxSharpe,2022-09-01,MS,0.0
Combined_MaxSharpe,2022-09-01,NEE,0.0
Combined_MaxSharpe,2022-09-01,NEM,0.0
Combined_MaxSharpe,2022-09-01,NKE,0.0
Combined_MaxSharpe,2022-09-01,NUE,0.0
Combined_MaxSharpe,2022-09-01,NVDA,0.0
Combined_MaxSharpe,2022-09-01,O,0.0
Combined_MaxSharpe,2022-09-01,OXY,0.228878
Combined_MaxSharpe,2022-09-01,PLD,0.0
Combined_MaxSharpe,2022-09-01,PSA,0.0
Combined_MaxSharpe,2022-09-01,QCOM,0.0
Combined_MaxSharpe,2022-09-01,SBUX,0.0
Combined_MaxSharpe,2022-09-01,SHW,0.0
Combined_MaxSharpe,2022-09-01,SLB,0.0
Combined_MaxSharpe,2022-09-01,SO,0.337335
Combined_MaxSharpe,2022-09-01,T,0.0
Combined_MaxSharpe,2022-09-01,TMUS,0.0
Combined_MaxSharpe,2022-09-01,TTWO,0.0
Combined_MaxSharpe,2022-09-01,UPS,0.0
Combined_MaxSharpe,2022-09-01,USB,0.0
Combined_MaxSharpe,2022-09-01,V,0.0
