date,Comm,Consumer,Energy,Financials,Healthcare,Industrials,Materials,RealEstate,Tech,Utilities
2020-03-23,0.163313,0.05064,-0.135216,-0.02157,0.044644,0.012568,0.174333,0.04303,0.183702,-0.01468
2020-03-24,0.175141,0.196996,0.113389,0.39868,0.273796,0.240997,0.31854,-0.002887,0.402205,0.162563
2020-03-25,0.177599,0.170133,0.157363,0.172037,0.180964,0.18102,0.209671,0.062278,0.183336,0.29345
2020-03-26,0.129202,0.086075,0.175266,0.218548,0.267409,0.146029,0.182584,0.309393,0.293434,0.12445
2020-03-27,0.183704,0.045832,0.289845,0.150997,0.292235,0.220017,0.280219,0.30251,0.3283,0.305863
2020-03-30,0.183099,0.069349,0.122721,-0.183265,0.144281,0.018956,0.08631,0.265285,0.076167,0.135738
2020-03-31,0.238171,-0.023837,0.006621,0.051159,0.075366,0.040347,0.224695,-0.138415,0.018877,-0.140875
2020-04-01,0.130654,0.179578,-0.05197,0.046318,0.093788,-0.01945,0.047515,-0.1362,0.11331,-0.057558
2020-04-02,-0.09556,0.043528,-0.044638,0.043256,0.115231,-0.078255,0.107912,-0.03122,0.101011,0.056202
2020-04-03,0.213195,-0.014648,-0.018312,0.090062,0.160549,-0.208871,0.05154,0.083912,-0.175947,0.2184
2020-04-06,0.315019,0.191595,0.112511,0.171702,0.333473,0.104016,0.074848,0.145969,0.287167,0.356532
2020-04-07,0.139496,0.2409,0.312661,0.144984,0.043709,0.298147,0.408192,0.075743,0.110834,0.186733
2020-04-08,0.087863,0.047568,0.30184,0.09422,0.125256,0.158806,0.211044,0.433717,0.23468,0.179176
2020-04-09,-0.022963,0.168501,0.131059,0.165225,0.027125,0.025403,0.118139,0.244247,0.131297,0.39142
2020-04-13,0.069971,-0.013241,0.122508,0.078749,-0.004052,0.019677,0.065347,-0.04814,0.165623,-0.00224
2020-04-14,0.219357,0.22204,0.063391,0.150778,0.178066,0.22061,0.042506,0.311878,0.570382,0.182384
2020-04-15,0.132701,0.090831,0.093438,0.106463,-0.062183,0.00011,0.005287,0.04653,0.123804,0.043357
2020-04-16,0.23649,0.115774,-0.01728,0.042723,0.299984,0.129752,0.08621,0.101992,0.308899,0.20834
2020-04-17,0.070743,0.214099,-0.094656,0.072205,0.296377,0.108359,0.26845,0.324067,0.096484,0.306596
2020-04-20,0.058981,0.070452,-0.143564,0.183998,-0.046997,0.067864,0.210267,0.039026,0.241328,-0.026239
2020-04-21,0.082433,0.012584,-0.225778,-0.109923,-0.017922,-0.008877,0.09064,0.030495,-0.33475,-0.0737
2020-04-22,0.127424,0.100937,-0.029025,0.108633,0.235772,0.114966,0.200032,0.189288,0.306038,0.012887
2020-04-23,0.087307,0.08178,0.186422,0.13952,0.15419,0.283292,0.147475,0.248529,0.208454,0.14091
2020-04-24,0.015129,-0.003549,0.067666,0.038144,0.059761,0.136738,0.058589,0.14887,0.117585,-0.00293
2020-04-27,0.081477,0.086633,-0.011834,0.097252,-0.013338,0.116956,0.246607,0.053123,0.145982,0.211036
2020-04-28,0.134261,0.064343,-0.008696,0.244105,0.151993,0.081956,0.053928,0.086165,0.108354,0.221898
2020-04-29,0.168758,0.107237,0.181792,0.117552,0.034186,0.098846,0.29078,0.061665,0.172688,0.042753
2020-04-30,0.073365,0.004515,0.044042,0.072541,0.150983,-0.044917,0.088055,0.015673,0.077652,0.0894
2020-05-01,-0.036331,0.180472,-0.124472,-0.063498,0.040706,-0.078103,0.128583,0.047131,-0.157989,0.115378
2020-05-04,0.075353,0.157035,-0.00683,0.127824,0.051395,0.071132,0.029557,0.03111,0.355646,0.18414
2020-05-05,0.119268,0.141627,0.098118,0.020163,0.167238,0.298226,0.157915,0.096093,0.277724,0.191412
